,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path
420,20,20,18,324,5,5,3,3,True,0,0,13,True
421,21,21,20,344,5,5,3,3,True,0,0,13,True
422,22,22,18,362,3,5,3,0,False,1,1,13,True
423,23,23,23,385,3,3,3,0,True,0,0,13,True
424,24,24,12,397,3,5,3,0,False,0,0,13,True
425,25,25,18,415,3,4,3,0,False,0,0,13,True
426,26,26,11,426,4,0,3,3,False,0,0,13,True
427,27,27,14,440,3,0,3,0,False,0,0,13,True
428,28,28,10,450,3,5,3,0,False,0,0,13,True
429,29,29,11,461,1,4,3,2,False,0,0,13,True
430,30,30,20,481,3,2,3,0,False,0,0,13,True
431,31,31,10,491,2,0,3,1,False,0,0,13,True
432,32,32,13,504,3,3,3,0,True,0,0,13,False
433,33,33,12,516,3,1,3,0,False,0,0,13,True
434,34,34,10,526,1,2,3,2,False,0,0,13,True
435,35,35,11,537,3,7,3,0,False,0,0,13,True
436,36,36,8,545,7,0,3,3,False,0,0,13,True
437,37,37,14,559,1,1,3,2,True,0,0,13,True
438,38,38,12,571,2,0,3,1,False,0,0,13,True
439,39,39,13,584,3,5,3,0,False,0,0,13,True
440,40,40,18,602,2,3,3,1,False,0,0,13,True
441,41,41,16,618,6,4,3,3,False,0,0,13,True
442,42,42,8,626,3,7,3,0,False,1,2,13,True
443,43,43,17,643,2,0,3,1,False,0,0,13,True
444,44,44,22,665,3,3,3,0,True,0,0,13,True
445,45,45,22,687,3,3,3,0,True,0,0,13,True
446,46,46,27,714,2,2,3,1,True,0,0,13,True
447,47,47,11,725,2,1,3,1,False,0,0,13,True
448,48,48,14,739,4,4,3,3,True,0,0,13,True
449,49,49,19,758,3,2,3,0,False,0,0,13,True
450,50,50,10,768,5,0,3,3,False,0,0,13,False
451,51,51,12,780,3,7,3,0,False,0,0,13,True
452,52,52,8,788,3,0,3,0,False,0,0,13,True
453,53,53,8,796,3,1,3,0,False,0,0,13,True
454,54,54,20,816,1,1,3,2,True,0,0,13,False
455,55,55,18,834,1,0,3,2,False,0,0,13,True
456,56,56,13,847,2,0,3,1,False,0,0,13,True
457,57,57,18,865,3,5,3,0,False,0,0,13,True
458,58,58,22,887,3,3,3,0,True,0,0,13,True
459,59,59,11,898,3,5,3,0,False,0,0,13,True
460,60,60,21,919,2,3,3,1,False,0,0,13,True
461,61,61,16,935,1,1,3,2,True,0,0,13,True
462,62,62,19,954,4,4,3,3,True,0,0,13,True
463,63,63,13,967,3,0,3,0,False,1,3,13,True
464,64,64,12,979,6,4,3,3,False,0,0,13,True
465,65,65,22,1001,2,2,3,1,True,0,0,13,True
466,66,66,21,1022,3,3,3,0,True,0,0,13,True
467,67,67,18,1040,5,4,3,3,False,0,0,13,True
468,68,68,13,1053,3,0,3,0,False,0,0,13,True
469,69,69,9,1062,3,3,3,0,True,0,0,13,True
470,70,70,17,1079,1,1,3,2,True,0,0,13,False
471,71,71,18,1097,6,4,3,3,False,0,0,13,True
472,72,72,21,1118,1,1,3,2,True,0,0,13,False
473,73,73,21,1139,3,7,3,0,False,0,0,13,True
474,74,74,13,1152,1,1,3,2,True,0,0,13,True
