,id,rho,alpha,ll,model_type
168,5,0.95,7.39,-0.8666772904281437,learn_only
169,5,0.95,54.6,-1.1271369691883482,learn_only
170,5,0.7,1.0,-0.9436497808245475,plan_only
171,5,0.7725,1.0,-0.8306435157871157,plan_only
172,5,0.845,1.0,-0.7302528628865358,plan_only
173,5,0.9175,1.0,-0.6769638174396521,plan_only
174,5,0.99,1.0,-1.0295430213464294,plan_only
175,7,0.7,0.02,-0.9410707695855999,full
176,7,0.7,0.14,-0.8931237340982584,full
177,7,0.7,1.0,-0.8989823770413781,full
178,7,0.7,7.39,-1.0257816282447856,full
179,7,0.7,54.6,-1.1384264419658343,full
180,7,0.7725,0.02,-0.7991759424522898,full
181,7,0.7725,0.14,-0.7381109628886326,full
182,7,0.7725,1.0,-0.700042849412284,full
183,7,0.7725,7.39,-0.7978025713740943,full
184,7,0.7725,54.6,-0.9318927897061805,full
185,7,0.845,0.02,-0.7048526929723027,full
186,7,0.845,0.14,-0.6409630496109632,full
187,7,0.845,1.0,-0.5635861718126216,full
188,7,0.845,7.39,-0.5995455329817894,full
189,7,0.845,54.6,-0.7220160261411609,full
190,7,0.9175,0.02,-0.628961073149912,full
191,7,0.9175,0.14,-0.5610533698859204,full
192,7,0.9175,1.0,-0.4669977180971445,full
193,7,0.9175,7.39,-0.4526002047188384,full
194,7,0.9175,54.6,-0.5275117222716819,full
195,7,0.99,0.02,-0.5294634146168573,full
196,7,0.99,0.14,-0.48649336833286466,full
197,7,0.99,1.0,-0.4785936882217138,full
198,7,0.99,7.39,-0.5016064838396155,full
199,7,0.99,54.6,-0.5306950656922609,full
200,7,0.95,0.02,-1.303031654954997,learn_only
201,7,0.95,0.14,-1.2154053082680092,learn_only
202,7,0.95,1.0,-1.1429619667167032,learn_only
203,7,0.95,7.39,-1.2421342153212642,learn_only
204,7,0.95,54.6,-1.5044840462950784,learn_only
205,7,0.7,1.0,-1.1791377652485673,plan_only
206,7,0.7725,1.0,-0.9891343741415242,plan_only
207,7,0.845,1.0,-0.7918379873328127,plan_only
208,7,0.9175,1.0,-0.5943300802392777,plan_only
209,7,0.99,1.0,-0.5524937475671432,plan_only
210,8,0.7,0.02,-0.8779411356073137,full
211,8,0.7,0.14,-0.8409069061695421,full
212,8,0.7,1.0,-0.7975296590279009,full
213,8,0.7,7.39,-0.8041867466820424,full
214,8,0.7,54.6,-0.8309215075716443,full
215,8,0.7725,0.02,-0.970414388829583,full
216,8,0.7725,0.14,-0.9049080042338835,full
217,8,0.7725,1.0,-0.7952016793946967,full
218,8,0.7725,7.39,-0.738492496573601,full
219,8,0.7725,54.6,-0.750184122492144,full
220,8,0.845,0.02,-1.088139525928364,full
221,8,0.845,0.14,-1.0092419950972058,full
222,8,0.845,1.0,-0.860502200374766,full
223,8,0.845,7.39,-0.7309359786190567,full
224,8,0.845,54.6,-0.6985594241312916,full
225,8,0.9175,0.02,-1.210816823539351,full
226,8,0.9175,0.14,-1.1344103728017985,full
227,8,0.9175,1.0,-0.994692582940214,full
228,8,0.9175,7.39,-0.8331784953799406,full
229,8,0.9175,54.6,-0.7337913838921648,full
230,8,0.99,0.02,-1.5563420678993072,full
231,8,0.99,0.14,-1.5264199405860892,full
232,8,0.99,1.0,-1.5109617159468047,full
233,8,0.99,7.39,-1.4402133676536821,full
234,8,0.99,54.6,-1.3151607477464027,full
235,8,0.95,0.02,-1.183370233227958,learn_only
236,8,0.95,0.14,-1.1114040670512022,learn_only
237,8,0.95,1.0,-1.021134313957641,learn_only
238,8,0.95,7.39,-0.9814864044257927,learn_only
239,8,0.95,54.6,-1.0410594975752647,learn_only
240,8,0.7,1.0,-0.8427263589285394,plan_only
241,8,0.7725,1.0,-0.762718862206655,plan_only
242,8,0.845,1.0,-0.7038592381238458,plan_only
243,8,0.9175,1.0,-0.7123782762398125,plan_only
244,8,0.99,1.0,-1.2339927101089807,plan_only
245,9,0.7,0.02,-0.9016869399895568,full
246,9,0.7,0.14,-0.8973385754259617,full
247,9,0.7,1.0,-0.9383431057311654,full
248,9,0.7,7.39,-1.0548794242998099,full
249,9,0.7,54.6,-1.1468445685796822,full
250,9,0.7725,0.02,-0.7553197465111254,full
251,9,0.7725,0.14,-0.7430465753755718,full
252,9,0.7725,1.0,-0.7472422258159898,full
253,9,0.7725,7.39,-0.8352895045730179,full
254,9,0.7725,54.6,-0.9442266209782755,full
255,9,0.845,0.02,-0.6709123023797648,full
256,9,0.845,0.14,-0.6471443863595918,full
257,9,0.845,1.0,-0.6112417633773468,full
258,9,0.845,7.39,-0.6414510907764962,full
259,9,0.845,54.6,-0.7383601085824589,full
260,9,0.9175,0.02,-0.6107672610123459,full
261,9,0.9175,0.14,-0.5689485082338968,full
262,9,0.9175,1.0,-0.5068712058337422,full
263,9,0.9175,7.39,-0.494068031352231,full
264,9,0.9175,54.6,-0.546916944457889,full
265,9,0.99,0.02,-0.5498189347598522,full
